d'acc,accept_to_answer
مشات,accept_to_answer
صافي مشات,accept_to_answer
اه واخا,accept_to_answer
واخا هانا مسولك,accept_to_answer
واخا صافي,accept_to_answer
واخا صافي مشات,accept_to_answer
اوكي,accept_to_answer
3lash la,accept_to_answer
why not,accept_to_answer
pourquoi pas,accept_to_answer
ui,accept_to_answer
ahah,accept_to_answer
pq pas,accept_to_answer
dacc,accept_to_answer
d'accord,accept_to_answer
ok,accept_to_answer
oui,accept_to_answer
اه مرحبا,accept_to_answer
اه,accept_to_answer
